Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,2335.0,2475.0,2310.0,2445.0,2128.59912109375,457922600.0
2020-10-19,2435.0,2465.0,2405.0,2425.0,2111.1875,350417000.0
2020-10-26,2400.0,2425.0,2295.0,2330.0,2028.481201171875,321631000.0
2020-11-02,2350.0,2575.0,2300.0,2550.0,2220.011474609375,748759200.0
2020-11-09,2625.0,2925.0,2600.0,2837.5,2470.306884765625,971972200.0
2020-11-16,2875.0,2987.5,2812.5,2950.0,2568.248779296875,618403800.0
2020-11-23,2987.5,3187.5,2950.0,3000.0,2611.778076171875,910585000.0
2020-11-30,3037.5,3337.5,2962.5,3325.0,2894.720947265625,640956600.0
2020-12-07,3325.0,3350.0,3225.0,3287.5,2862.07373046875,348857600.0
2020-12-14,3262.5,3375.0,3225.0,3300.0,2872.9560546875,388494400.0
2020-12-21,3262.5,3287.5,2975.0,3225.0,2807.66162109375,300383800.0
2020-12-28,3225.0,3237.5,3050.0,3187.5,2775.014404296875,209928000.0
2021-01-04,3200.0,3300.0,3100.0,3262.5,2840.308837890625,439133600.0
2021-01-11,3300.0,3337.5,3100.0,3150.0,2742.3671875,459942200.0
2021-01-18,3150.0,3287.5,3062.5,3112.5,2709.719970703125,410428000.0
2021-01-25,3112.5,3137.5,2625.0,2925.0,2546.483642578125,630642400.0
2021-02-01,2937.5,3200.0,2925.0,3150.0,2742.3671875,544499200.0
2021-02-08,3137.5,3200.0,3075.0,3112.5,2709.719970703125,196011600.0
2021-02-15,3125.0,3200.0,2962.5,2962.5,2579.131103515625,351100800.0
2021-02-22,2962.5,3112.5,2950.0,3112.5,2709.719970703125,386473400.0
2021-03-01,3137.5,3150.0,2937.5,3000.0,2611.778076171875,230286000.0
2021-03-08,3037.5,3175.0,2962.5,3162.5,2753.24951171875,283021800.0
2021-03-15,3162.5,3187.5,3037.5,3050.0,2655.307861328125,289274200.0
2021-03-22,3050.0,3100.0,2937.5,3025.0,2633.543212890625,222491400.0
2021-03-29,3000.0,3025.0,2775.0,2875.0,2502.9541015625,240960000.0
2021-04-05,2900.0,3050.0,2862.5,2925.0,2546.483642578125,246639200.0
2021-04-12,2925.0,3025.0,2862.5,2937.5,2596.958984375,174385800.0
2021-04-19,2937.5,2962.5,2825.0,2862.5,2530.65380859375,167550800.0
2021-04-26,2900.0,2962.5,2775.0,2787.5,2464.3486328125,218293200.0
2021-05-03,2787.5,2887.5,2762.5,2787.5,2464.3486328125,160785200.0
2021-05-10,2787.5,2825.0,2725.0,2750.0,2431.19580078125,78901400.0
2021-05-17,2750.0,2775.0,2587.5,2650.0,2342.788818359375,212591600.0
2021-05-24,2650.0,2750.0,2575.0,2700.0,2386.992431640625,322291000.0
2021-05-31,2700.0,2875.0,2700.0,2762.5,2442.246826171875,221020000.0
2021-06-07,2775.0,2850.0,2737.5,2775.0,2453.297607421875,181364200.0
2021-06-14,2775.0,2787.5,2390.0,2485.0,2196.9169921875,537553200.0
2021-06-21,2500.0,2512.5,2290.0,2290.0,2024.5230712890625,375043000.0
2021-06-28,2290.0,2430.0,2280.0,2360.0,2086.407958984375,304916800.0
2021-07-05,2365.0,2415.0,2300.0,2350.0,2077.5673828125,251214400.0
2021-07-12,2360.0,2425.0,2280.0,2410.0,2130.611572265625,240054200.0
2021-07-19,2410.0,2625.0,2410.0,2525.0,2232.27978515625,271817200.0
2021-07-26,2550.0,2550.0,2375.0,2410.0,2130.611572265625,220550400.0
2021-08-02,2410.0,2625.0,2400.0,2490.0,2201.33740234375,235242400.0
2021-08-09,2500.0,2587.5,2475.0,2575.0,2276.4833984375,88786400.0
2021-08-16,2575.0,2737.5,2575.0,2675.0,2364.890380859375,317547200.0
2021-08-23,2675.0,2712.5,2575.0,2700.0,2386.992431640625,173857400.0
2021-08-30,2700.0,2750.0,2612.5,2725.0,2409.093994140625,181493200.0
2021-09-06,2737.5,2750.0,2625.0,2700.0,2386.992431640625,178593200.0
2021-09-13,2700.0,2725.0,2562.5,2575.0,2276.4833984375,162964000.0
2021-09-20,2550.0,2600.0,2512.5,2537.5,2243.330810546875,224371000.0
2021-09-27,2537.5,2900.0,2512.5,2850.0,2519.60302734375,315232000.0
2021-10-04,2837.5,3212.5,2812.5,3200.0,2829.028076171875,616341000.0
2021-10-11,3200.0,3587.5,3162.5,3537.5,3127.40185546875,924366000.0
2021-10-18,3575.0,3787.5,3512.5,3675.0,3248.961669921875,461277000.0
2021-10-25,3675.0,3700.0,3412.5,3425.0,3027.94384765625,413810600.0
2021-11-01,3425.0,3562.5,3362.5,3525.0,3116.35107421875,291706000.0
2021-11-08,3525.0,3562.5,3400.0,3400.0,3005.84228515625,177998000.0
2021-11-15,3400.0,3600.0,3375.0,3587.5,3171.60546875,254002400.0
2021-11-22,3587.5,3637.5,3375.0,3475.0,3072.1474609375,445493600.0
2021-11-29,3500.0,3500.0,3275.0,3425.0,3027.94384765625,364935000.0
2021-12-06,3450.0,3537.5,3375.0,3425.0,3027.94384765625,233974800.0
2021-12-13,3425.0,3487.5,3325.0,3362.5,2972.689453125,200560200.0
2021-12-20,3362.5,3400.0,3287.5,3375.0,2983.740234375,134169000.0
2021-12-27,3375.0,3400.0,3337.5,3362.5,2972.689453125,92960400.0
2022-01-03,3400.0,3587.5,3387.5,3525.0,3116.35107421875,350587800.0
2022-01-10,3525.0,3600.0,3487.5,3600.0,3182.65625,224260000.0
2022-01-17,3600.0,3625.0,3462.5,3550.0,3138.45263671875,210133200.0
2022-01-24,3550.0,3762.5,3387.5,3662.5,3237.910888671875,537648000.0
2022-01-31,3662.5,3712.5,3612.5,3687.5,3260.0126953125,150171800.0
2022-02-07,3712.5,3887.5,3700.0,3850.0,3403.674072265625,526469200.0
2022-02-14,3875.0,4000.0,3862.5,3950.0,3492.081298828125,360623400.0
2022-02-21,3900.0,4000.0,3850.0,4000.0,3536.284912109375,395498800.0
2022-02-28,4100.0,4100.0,3850.0,3862.5,3414.72509765625,291400800.0
2022-03-07,3850.0,4100.0,3762.5,4050.0,3580.48828125,372356400.0
2022-03-14,4050.0,4250.0,4012.5,4037.5,3569.4375,439367000.0
2022-03-21,4037.5,4262.5,3975.0,4250.0,3757.302734375,362364600.0
2022-03-28,4250.0,4287.5,4062.5,4212.5,3864.166015625,281680000.0
2022-04-04,4212.5,4250.0,4037.5,4200.0,3852.69970703125,307597200.0
2022-04-11,4200.0,4262.5,4137.5,4212.5,3864.166015625,191144000.0
2022-04-18,4200.0,4950.0,4162.5,4750.0,4357.2197265625,556475600.0
2022-04-25,4750.0,4850.0,4575.0,4612.5,4231.08984375,323430200.0
2022-05-02,4612.5,4612.5,4325.0,4412.5,4047.6279296875,209052000.0
2022-05-09,4175.0,4600.0,4025.0,4125.0,3783.901611328125,565649400.0
2022-05-16,4175.0,4487.5,4100.0,4425.0,4059.094482421875,389988400.0
2022-05-23,4512.5,4687.5,4437.5,4600.0,4219.62353515625,317442400.0
2022-05-30,4637.5,4675.0,4350.0,4450.0,4082.027099609375,358124600.0
2022-06-06,4550.0,4550.0,3962.5,4125.0,3783.901611328125,517288800.0
2022-06-13,4137.5,4237.5,4025.0,4062.5,3726.569580078125,350351400.0
2022-06-20,4087.5,4225.0,4025.0,4025.0,3692.170654296875,256665800.0
2022-06-27,4012.5,4087.5,3700.0,3825.0,3508.708740234375,362518200.0
2022-07-04,3837.5,3975.0,3750.0,3750.0,3439.910400390625,265550000.0
2022-07-11,3750.0,3812.5,3575.0,3662.5,3359.64599609375,340828200.0
2022-07-18,3662.5,3912.5,3637.5,3800.0,3485.77587890625,306707000.0
2022-07-25,3825.0,4050.0,3812.5,3975.0,3646.30517578125,429642200.0
2022-08-01,3987.5,4137.5,3937.5,4125.0,3783.901611328125,249927600.0
2022-08-08,4137.5,4300.0,4125.0,4275.0,3921.498046875,262087200.0
2022-08-15,4262.5,4362.5,4100.0,4150.0,3806.834228515625,201666600.0
2022-08-22,4150.0,4200.0,4062.5,4100.0,3760.96875,170474800.0
2022-08-29,4125.0,4437.5,4112.5,4425.0,4059.094482421875,293852000.0
2022-09-05,4425.0,4450.0,4275.0,4400.0,4036.16162109375,232930400.0
2022-09-12,4425.0,4625.0,4387.5,4487.5,4116.42626953125,420548000.0
2022-09-19,4487.5,4525.0,4375.0,4500.0,4127.892578125,219140200.0
2022-09-26,4525.0,4550.0,4400.0,4450.0,4082.027099609375,215308600.0
2022-10-03,4462.5,4500.0,4325.0,4375.0,4013.22900390625,216666200.0
2022-10-10,4375.0,4437.5,4175.0,4287.5,3932.96435546875,259801800.0
2022-10-17,4287.5,4712.5,4287.5,4675.0,4288.421875,295969000.0
2022-10-24,4775.0,4837.5,4562.5,4700.0,4311.3544921875,292964000.0
2022-10-31,4700.0,4750.0,4575.0,4637.5,4254.0224609375,215200200.0
2022-11-07,4650.0,4737.5,4537.5,4550.0,4173.75830078125,243364200.0
2022-11-14,4575.0,4662.5,4437.5,4587.5,4208.1572265625,218048800.0
2022-11-21,4612.5,4675.0,4587.5,4637.5,4254.0224609375,159360000.0
2022-11-28,4637.5,4975.0,4637.5,4875.0,4471.8837890625,469362400.0
2022-12-05,4850.0,4850.0,4637.5,4762.5,4368.6865234375,311345000.0
2022-12-12,4800.0,4900.0,4675.0,4712.5,4322.82080078125,308628200.0
2022-12-19,4725.0,4762.5,4637.5,4662.5,4276.95556640625,158452800.0
2022-12-26,4700.0,4700.0,4550.0,4612.5,4231.08984375,122985600.0
2023-01-02,4600.0,4650.0,4412.5,4500.0,4127.892578125,251505800.0
2023-01-09,4500.0,4500.0,4212.5,4387.5,4024.6953125,298459400.0
2023-01-16,4387.5,4550.0,4375.0,4512.5,4139.35888671875,172290800.0
2023-01-23,4537.5,4800.0,4487.5,4650.0,4265.48876953125,331214600.0
2023-01-30,4600.0,4675.0,4525.0,4675.0,4288.421875,326266200.0
2023-02-06,4675.0,4787.5,4625.0,4750.0,4357.2197265625,185136000.0
2023-02-13,4750.0,4775.0,4562.5,4575.0,4196.69091796875,217757200.0
2023-02-20,4575.0,4600.0,4400.0,4475.0,4104.9599609375,319009800.0
2023-02-27,4500.0,4500.0,4375.0,4400.0,4036.16162109375,303548400.0
2023-03-06,4400.0,4612.5,4400.0,4500.0,4127.892578125,350712200.0
2023-03-13,4450.0,4575.0,4375.0,4500.0,4127.892578125,516055800.0
2023-03-20,4525.0,4875.0,4487.5,4750.0,4357.2197265625,311137800.0
2023-03-27,4600.0,4700.0,4500.0,4675.0,4288.421875,296205400.0
2023-04-03,4675.0,4725.0,4600.0,4662.5,4662.5,181506200.0
2023-04-10,4650.0,4750.0,4650.0,4725.0,4725.0,208917200.0
2023-04-17,4725.0,4787.5,4700.0,4737.5,4737.5,57641400.0
2023-04-24,4737.5,4800.0,4712.5,4712.5,4712.5,165497800.0
2023-05-01,4725.0,4775.0,4575.0,4575.0,4575.0,191268600.0
2023-05-08,4562.5,4637.5,4425.0,4450.0,4450.0,239465200.0
2023-05-15,4475.0,4487.5,4325.0,4425.0,4425.0,388209600.0
2023-05-22,4412.5,4537.5,4400.0,4525.0,4525.0,385472000.0
2023-05-29,4512.5,4562.5,4487.5,4500.0,4500.0,372984600.0
2023-06-05,4500.0,4650.0,4462.5,4650.0,4650.0,249156400.0
